,Jugador,Temporada,Dato,Ultimo_club,Nuevo_club,Valor,Coste
23505,3622.0,12/13,30/06/2013,FC Ashdod,Partizan,800 miles €,Fin de préstamo
23506,3622.0,12/13,26/01/2013,Partizan,FC Ashdod,800 miles €,Préstamo
23507,3622.0,12/13,01/07/2012,Hapoel Acre,Partizan,400 miles €,Libre
23508,3622.0,11/12,01/09/2011,Club Brugge,Hapoel Acre,400 miles €,Libre
23509,3622.0,10/11,30/06/2011,KV Kortrijk,Club Brugge,400 miles €,Fin de préstamo
23510,3622.0,10/11,01/01/2011,Club Brugge,KV Kortrijk,400 miles €,Préstamo
23511,3622.0,10/11,01/07/2010,OFK Beograd,Club Brugge,300 miles €,650 miles €
23512,3622.0,09/10,30/06/2010,UC Sampdoria,OFK Beograd,300 miles €,Fin de préstamo
23513,3622.0,09/10,01/01/2010,OFK Beograd,UC Sampdoria,300 miles €,Préstamo
23514,3622.0,08/09,30/06/2009,Sopot,OFK Beograd,125 miles €,Fin de préstamo
23515,3622.0,08/09,01/01/2009,OFK Beograd,Sopot,100 miles €,Préstamo
23516,3622.0,08/09,01/12/2008,Pozarevac,OFK Beograd,100 miles €,Fin de préstamo
23517,3622.0,08/09,01/07/2008,OFK Beograd,Pozarevac,100 miles €,Préstamo
23518,3622.0,07/08,01/04/2008,OFK Belgrad U19,OFK Beograd,-,-
23519,3622.0,07/08,01/07/2007,Partizan U19,OFK Belgrad U19,-,Libre
23520,3623.0,16/17,01/07/2016,Real Betis,Getafe CF,"1,20 mill. €",Libre
23521,3623.0,10/11,01/07/2010,Elche CF,Real Betis,"1,20 mill. €","1,60 mill. €"
23522,3623.0,09/10,01/07/2009,Benidorm CF,Elche CF,-,?
23523,3623.0,05/06,01/07/2005,CF Gandía,Benidorm,-,?
23524,3623.0,04/05,01/07/2004,Benidorm,CF Gandía,-,?
23525,3623.0,02/03,01/07/2002,CD Alcoyano,Benidorm,-,?
23526,3624.0,16/17,31/01/2017,UD Almería,Getafe CF,400 miles €,Préstamo
23527,3624.0,15/16,09/07/2015,Real Betis,UD Almería,"1,00 mill. €",500 miles €
23528,3624.0,14/15,30/06/2015,CD Leganés,Real Betis,800 miles €,Fin de préstamo
23529,3624.0,14/15,07/01/2015,Real Betis,CD Leganés,"1,00 mill. €",Préstamo
23530,3624.0,13/14,01/07/2013,Recreativo,Real Betis,"1,00 mill. €",600 miles €
