,Jugador,Temporada,Competicion,Club,Plantilla,Alineaciones,Puntos por partido,Goles,PasesGol,GolesPropiaMeta,CambiosFuera,CambiosDentro,Amarillas,DobleAmarillas,Rojas,PenaltisAnotados,MinutosPorGol,MinutosJugados,GolesEnContra,PartidoSinGolEnContra
82455,3821.0,07/08,LaLiga,Levante UD,20,12,"0,75",-,-,-,5,1,4,-,-,-,-,726',-,-
82456,3821.0,07/08,Copa del Rey,Levante UD,1,1,"0,00",-,-,-,-,-,-,-,-,-,-,90',-,-
82457,3821.0,06/07,Copa del Rey,Málaga CF,1,1,"3,00",-,-,-,-,-,1,-,-,-,-,90',-,-
82458,3821.0,06/07,LaLiga2,Málaga CF,1,1,"3,00",-,-,-,1,-,-,-,-,-,-,9',-,-
82459,3822.0,16/17,LaLiga2,Elche CF,22,13,"1,23",1,-,-,1,-,3,-,-,-,1.095',1.095',-,-
82460,3822.0,16/17,Copa del Rey,Elche CF,2,2,"1,50",-,-,-,-,-,-,-,-,-,-,210',-,-
82461,3822.0,15/16,LaLiga2,Elche CF,22,17,"1,24",1,-,2,1,2,1,-,-,-,1.462',1.462',-,-
82462,3822.0,14/15,LaLiga,Elche CF,26,13,"0,92",-,-,-,5,4,6,-,-,-,-,659',-,-
82463,3822.0,14/15,Copa del Rey,Elche CF,2,1,"1,00",-,-,-,-,-,-,-,-,-,-,90',-,-
82464,3822.0,13/14,Segunda División B - Grupo III,Elche Ilicitano,36,36,"1,72",4,-,-,-,2,7,-,-,-,802',3.208',-,-
82465,3822.0,12/13,Segunda División B - Grupo I,UD Salamanca,10,10,"1,90",-,1,-,-,-,1,-,-,-,-,900',-,-
82466,3822.0,11/12,Segunda División B - Grupo II,UD Salamanca,15,12,"1,83",1,-,-,1,2,2,-,-,-,956',956',-,-
82467,3822.0,10/11,LaLiga2,UD Salamanca,21,8,"1,00",-,-,-,5,-,1,-,-,-,-,383',-,-
82468,3822.0,10/11,Copa del Rey,UD Salamanca,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
82469,3823.0,16/17,LaLiga2,Elche CF,18,11,"1,27",1,-,-,3,2,2,-,-,-,726',726',-,-
82470,3823.0,16/17,Copa del Rey,Elche CF,2,1,"3,00",-,-,-,1,-,-,-,-,-,-,74',-,-
82471,3823.0,15/16,LaLiga2,Real Oviedo,10,8,"0,75",1,-,-,-,1,-,-,-,-,680',680',-,-
82472,3823.0,15/16,Copa del Rey,Cádiz CF,5,5,"1,20",-,-,-,1,-,-,-,-,-,-,360',-,-
82473,3823.0,15/16,Segunda División B - Grupo IV,Cádiz CF,19,17,"1,82",2,-,-,1,1,3,-,-,-,718',1.436',-,-
82474,3823.0,14/15,Promoción de ascenso a LaLiga2 ,Cádiz CF,5,5,"1,00",-,-,-,-,-,2,-,-,-,-,450',-,-
82475,3823.0,14/15,Segunda División B - Grupo IV,Cádiz CF,36,33,"2,03",4,-,-,-,2,8,-,-,-,724',2.896',-,-
82476,3823.0,14/15,Copa del Rey,Cádiz CF,5,5,"1,80",-,-,-,-,-,2,-,-,-,-,450',-,-
82477,3823.0,13/14,Segunda División B - Grupo IV,Cádiz CF,5,5,"2,60",-,-,-,-,-,-,-,-,-,-,450',-,-
82478,3823.0,12/13,Segunda División B - Grupo I,Zamora CF,6,6,"0,67",-,-,1,-,-,1,-,-,-,-,540',-,-
82479,3823.0,11/12,Segunda División B - Grupo II,Zamora CF,25,25,"1,32",3,-,-,-,1,9,-,-,-,739',2.218',-,-
82480,3823.0,10/11,Segunda División B - Grupo II,Deportivo Alavés,2,1,"3,00",-,-,-,1,-,-,-,-,-,-,15',-,-
82481,3823.0,09/10,LaLiga2,Elche CF,2,1,"3,00",-,-,-,1,-,-,-,-,-,-,8',-,-
82482,3823.0,09/10,Copa del Rey,Elche CF,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
82483,3823.0,07/08,LaLiga2,Elche CF,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
82484,3824.0,16/17,LaLiga2,Elche CF,22,22,"1,32",1,-,1,-,-,3,-,1,-,1.962',1.962',-,-
82485,3824.0,16/17,Copa del Rey,Elche CF,1,1,"3,00",-,-,-,-,1,-,-,-,-,-,45',-,-
82486,3824.0,15/16,LaLiga2,Deportivo Alavés,37,36,"1,83",3,-,-,-,-,11,1,-,-,1.079',3.236',-,-
82487,3824.0,14/15,LaLiga,Elche CF,20,10,"1,00",-,-,-,2,-,2,-,-,-,-,725',-,-
82488,3824.0,14/15,Copa del Rey,Elche CF,4,3,"1,00",-,-,-,-,1,2,-,-,-,-,260',-,-
82489,3824.0,13/14,LaLiga,Elche CF,26,18,"0,89",-,1,-,3,-,3,-,-,-,-,1.402',-,-
82490,3824.0,13/14,Copa del Rey,Elche CF,2,2,"0,50",1,-,-,-,-,-,-,-,-,180',180',-,-
82491,3824.0,12/13,LaLiga2,Elche CF,36,35,"2,00",-,1,-,-,3,8,-,-,-,-,3.063',-,-
82492,3824.0,12/13,Copa del Rey,Elche CF,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
82493,3824.0,11/12,LaLiga2,Elche CF,29,28,"1,46",4,-,-,1,1,7,1,-,-,595',2.381',-,-
82494,3824.0,11/12,Copa del Rey,Elche CF,2,2,"1,50",-,-,-,-,-,1,-,-,-,-,180',-,-
82495,3824.0,10/11,Promoción de ascenso a LaLiga ,Elche CF,4,4,"1,25",-,-,-,-,1,2,-,-,-,-,353',-,-
82496,3824.0,10/11,LaLiga2,Elche CF,31,25,"1,40",2,-,-,1,1,10,-,-,-,1.091',2.182',-,-
82497,3824.0,10/11,Copa del Rey,Elche CF,1,1,"0,00",-,-,-,-,1,1,-,-,-,-,73',-,-
