,Avatar,Nombre,Nombre_Completo,Dorsal,Nacionalidad,bandera_pais,valor,Equipo,Altura,Pie,Edad,Fecha_nacimiento,Contrato_hasta,Posicion,Fichado,Agente,Lugar_nacimiento,Proveedror
3852,tmssl.akamaized.net//bilder/spielerfotos/s_27667_265_2012_2.jpg?lm=0,Vitolo,-,6,España,//tmssl.akamaized.net//images/flagge/verysmall/157.png?lm=1396275477,400 miles € ,146.0,"1,70m",ambidiestro,33,09/09/1983,30.06.2017,Medio campo - Pivote,01/07/2014,-,Santa Cruz de Tenerife  ,-
3853,tmssl.akamaized.net//images/portrait/header/129693-1433357115.jpg?lm=1433357127,Gaku Shibasaki,柴崎 岳,20,Japón,//tmssl.akamaized.net//images/flagge/verysmall/77.png?lm=1396275478,"2,00 mill. € ",146.0,"1,75m",derecho,24,28/05/1992,30.06.2017,Medio campo - Medio centro,31/01/2017,Roberto Tukada,"Noheji, Aomori  ",-
3854,tmssl.akamaized.net//images/portrait/header/246877-1447318907.jpg?lm=1447319661,Rachid Aït-Atmane,-,8,Argelia,//tmssl.akamaized.net//images/flagge/verysmall/4.png?lm=1396275450,"1,50 mill. € ",146.0,"1,90m",derecho,24,04/01/1993,30.06.2017,Medio campo - Medio centro,31/01/2017,YOU FIRST SPORTS,Bobigny  ,-
3855,tmssl.akamaized.net//bilder/spielerfotos/h/C/s_71834_12405_2009_1.jpg?lm=0,Aitor Sanz,Aitor Sanz Martín,16,España,//tmssl.akamaized.net//images/flagge/verysmall/157.png?lm=1396275477,300 miles € ,146.0,"1,80m",derecho,32,13/09/1984,30.06.2017,Medio campo - Medio centro,01/07/2013,-,Madrid  ,-
3856,tmssl.akamaized.net//bilder/spielerfotos/s_95488_142_2012_10_24_1.jpg?lm=0,Edu Oriol,Eduard Oriol Gràcia,2,España,//tmssl.akamaized.net//images/flagge/verysmall/157.png?lm=1396275477,300 miles € ,146.0,"1,76m",ambidiestro,30,05/11/1986,30.06.2017,Medio campo - Interior derecho,01/07/2016,Dea football investment,Cambrils  ,-
3857,tmssl.akamaized.net//images/portrait/header/default.jpg?lm=1455618221,Iñaki Sáenz,Iñaki Sáenz Arenzana,11,España,//tmssl.akamaized.net//images/flagge/verysmall/157.png?lm=1396275477,400 miles € ,146.0,"1,77m",izquierdo,28,29/04/1988,30.06.2018,Medio campo - Interior izquierdo,02/07/2016,-,Logroño  ,-
3858,tmssl.akamaized.net//bilder/spielerfotos/s_172127_11610_2012_1.jpg?lm=0,Tyronne,-,22,España,//tmssl.akamaized.net//images/flagge/verysmall/157.png?lm=1396275477,300 miles € ,146.0,"1,82m",izquierdo,26,27/01/1991,30.06.2017,Medio campo - Medio centro ofensivo,21/01/2017,-,Las Palmas de Gran Canaria  ,-
3859,tmssl.akamaized.net//images/portrait/header/default.jpg?lm=1455618221,Amath Ndiaye,Amath Ndiaye Diedhiou,31,Senegal,//tmssl.akamaized.net//images/flagge/verysmall/149.png?lm=1396275486,600 miles € ,146.0,"1,73m",derecho,20,16/07/1996,30.06.2017,Delantero - Extremo izquierdo,28/08/2016,-,-,-
3860,tmssl.akamaized.net//images/portrait/header/default.jpg?lm=1455618221,Cristo González,Cristo Ramón González Pérez,26,España,//tmssl.akamaized.net//images/flagge/verysmall/157.png?lm=1396275477,500 miles € ,146.0,"1,80m",izquierdo,19,24/10/1997,30.06.2017,Delantero - Extremo izquierdo,01/07/2015,promoesport bcn,Santa Cruz de Tenerife  ,-
3861,tmssl.akamaized.net//images/portrait/header/57943-1442915881.jpg?lm=1442915896,Aarón Ñíguez,Aarón Ñíguez Esclapez,17,España,//tmssl.akamaized.net//images/flagge/verysmall/157.png?lm=1396275477,400 miles € ,146.0,"1,70m",derecho,27,26/04/1989,30.06.2017,Delantero - Extremo izquierdo,30/08/2016,promoesport bcn,Elche  ,Nike
