,Jugador,Temporada,Dato,Ultimo_club,Nuevo_club,Valor,Coste
39100,5750.0,15/16,14/07/2015,Pordenone,Feralpisalò,175 miles €,Libre
39101,5750.0,14/15,09/07/2014,Unione Venezia,Pordenone,175 miles €,Libre
39102,5750.0,12/13,24/07/2012,Treviso,Unione Venezia,-,?
39103,5750.0,11/12,01/07/2011,Tamai,Treviso,-,?
39104,5750.0,10/11,01/07/2010,Manzanese,Tamai,-,?
39105,5750.0,09/10,01/07/2009,Muggia,Manzanese,-,?
39106,5750.0,08/09,01/07/2008,Triestina U19,Muggia,-,?
39107,5751.0,15/16,01/07/2015,Lupa Roma,Trapani,150 miles €,Libre
39108,5751.0,12/13,01/07/2012,Isola Liri,Lupa Frascati,50 miles €,?
39109,5751.0,09/10,01/08/2009,Viareggio,Isola Liri,50 miles €,?
39110,5751.0,08/09,01/07/2008,Ascoli U19,Viareggio,50 miles €,?
39111,5751.0,05/06,01/01/2006,Latina Jugend,Ascoli U19,-,?
39112,5752.0,13/14,13/07/2013,Modena FC,Trapani,100 miles €,?
39113,5752.0,12/13,30/06/2013,Vicenza,Modena FC,100 miles €,Fin de préstamo
39114,5752.0,12/13,31/01/2013,Modena FC,Vicenza,100 miles €,Préstamo
39115,5752.0,10/11,01/01/2011,US Palermo,Modena FC,400 miles €,gratuito
39116,5752.0,09/10,30/06/2010,AC Bellinzona,US Palermo,400 miles €,Fin de préstamo
39117,5752.0,09/10,01/07/2009,US Palermo,AC Bellinzona,900 miles €,Préstamo
39118,5752.0,08/09,30/06/2009,Salernitana,US Palermo,900 miles €,Fin de préstamo
39119,5752.0,08/09,01/01/2009,US Palermo,Salernitana,"1,25 mill. €",Préstamo
39120,5752.0,07/08,30/06/2008,Chievo Verona,US Palermo,"1,25 mill. €",Fin de préstamo
39121,5752.0,07/08,01/07/2007,US Palermo,Chievo Verona,"1,25 mill. €",Préstamo
39122,5752.0,06/07,31/12/2006,Parma,US Palermo,400 miles €,Fin de préstamo
39123,5752.0,06/07,01/07/2006,US Palermo,Parma,400 miles €,Préstamo
39124,5752.0,04/05,30/06/2005,AC Cesena,US Palermo,400 miles €,Fin de préstamo
39125,5752.0,04/05,01/08/2004,US Palermo,AC Cesena,-,Préstamo
39126,5752.0,03/04,30/06/2004,AS Livorno,US Palermo,-,Fin de préstamo
39127,5752.0,02/03,01/08/2002,US Palermo,AS Livorno,-,Préstamo
39128,5752.0,01/02,30/06/2002,Avellino,US Palermo,-,Fin de préstamo
39129,5752.0,01/02,01/07/2001,US Palermo,Avellino,-,Préstamo
39130,5752.0,00/01,01/07/2000,Palermo U19,US Palermo,-,-
39131,5753.0,16/17,01/02/2017,inactivo,Trapani,25 miles €,-
39132,5753.0,15/16,01/07/2015,Trapani,inactivo,25 miles €,?
39133,5753.0,14/15,30/06/2015,Tuttocuoio,Trapani,25 miles €,Fin de préstamo
39134,5753.0,14/15,23/07/2014,Trapani,Tuttocuoio,25 miles €,Préstamo
39135,5753.0,13/14,30/06/2014,Sorrento,Trapani,50 miles €,Fin de préstamo
39136,5753.0,13/14,31/01/2014,Trapani,Sorrento,50 miles €,Préstamo
39137,5753.0,12/13,30/06/2013,Licata,Trapani,-,Fin de préstamo
39138,5753.0,12/13,30/08/2012,Trapani,Licata,-,Préstamo
39139,5753.0,12/13,01/07/2012,Trapani,Trapani,-,-
39140,5754.0,16/17,01/07/2016,Floriana,Trapani,"1,10 mill. €",180 miles €
39141,5754.0,15/16,30/06/2016,Trapani,Floriana,"1,10 mill. €",Fin de préstamo
39142,5754.0,15/16,12/08/2015,Floriana,Trapani,100 miles €,Préstamo
39143,5754.0,12/13,10/11/2012,Sin equipo,Floriana,-,-
39144,5754.0,12/13,01/07/2012,GC U21,Sin equipo,-,-
39145,5754.0,11/12,01/07/2011,MK Dons U18,GC U21,-,?
