,Jugador,Temporada,Dato,Ultimo_club,Nuevo_club,Valor,Coste
14066,2125.0,06/07,30/06/2007,SCO Angers,Troyes,200 miles €,Fin de préstamo
14067,2125.0,06/07,31/01/2007,Troyes,SCO Angers,200 miles €,Préstamo
14068,2125.0,06/07,01/07/2006,SCO Angers,Troyes,-,Libre
14069,2125.0,04/05,01/07/2004,PSG B,SCO Angers,-,Libre
14070,2125.0,03/04,30/06/2004,SCO Angers,PSG B,-,Fin de préstamo
14071,2125.0,03/04,30/01/2004,PSG B,SCO Angers,-,Préstamo
14072,2126.0,16/17,31/08/2016,Dynamo Kyiv,OGC Nice,"7,50 mill. €",Préstamo
14073,2126.0,15/16,30/06/2016,FC Schalke 04,Dynamo Kyiv,"7,50 mill. €",Fin de préstamo
14074,2126.0,15/16,06/01/2016,Dynamo Kyiv,FC Schalke 04,"7,50 mill. €",Préstamo
14075,2126.0,13/14,01/07/2013,Montpellier,Dynamo Kyiv,"14,00 mill. €","8,50 mill. €"
14076,2126.0,09/10,01/07/2009,HSC Montpellier U19,Montpellier,-,-
14077,2127.0,15/16,30/06/2016,St-Étienne,OGC Nice,"4,50 mill. €",Fin de préstamo
14078,2127.0,15/16,18/08/2015,OGC Nice,St-Étienne,"3,50 mill. €",Préstamo
14079,2127.0,12/13,10/01/2013,Monaco,OGC Nice,"1,75 mill. €","1,50 mill. €"
14080,2127.0,12/13,09/01/2013,OGC Nice,Monaco,"1,75 mill. €",Fin de préstamo
14081,2127.0,12/13,24/08/2012,Monaco,OGC Nice,800 miles €,Préstamo
14082,2127.0,11/12,01/07/2011,Monaco B,Monaco,-,-
14083,2128.0,16/17,19/07/2016,AS Nancy,OGC Nice,"2,00 mill. €","2,50 mill. €"
14084,2128.0,14/15,01/07/2014,AS Nancy U19,AS Nancy,-,-
14085,2130.0,16/17,31/01/2017,Cub Africain,OGC Nice,275 miles €,"1,50 mill. €"
14086,2130.0,15/16,01/07/2015,CA Tunis U19,Cub Africain,-,-
14087,2130.0,14/15,01/08/2014,St. Tunisien U19,CA Tunis U19,-,?
14088,2131.0,16/17,20/07/2016,Juventus,OGC Nice,650 miles €,Préstamo
14089,2131.0,15/16,30/06/2016,FC Lugano,Juventus,650 miles €,Fin de préstamo
14090,2131.0,15/16,20/07/2015,Juventus,FC Lugano,300 miles €,Préstamo
14091,2131.0,14/15,30/06/2015,Sassuolo,Juventus,300 miles €,Fin de préstamo
14092,2131.0,14/15,02/02/2015,Juventus,Sassuolo,300 miles €,Préstamo
14093,2131.0,14/15,01/01/2015,Juventus U19,Juventus,300 miles €,-
14094,2131.0,13/14,01/07/2013,Juventus U17,Juventus U19,-,-
14095,2131.0,12/13,18/01/2013,PAO U20,Juventus U17,-,300 miles €
14096,2132.0,14/15,28/08/2014,Olymp. Lyonnais,OGC Nice,"1,00 mill. €",500 miles €
14097,2132.0,13/14,30/06/2014,AJ Auxerre,Olymp. Lyonnais,750 miles €,Fin de préstamo
14098,2132.0,13/14,31/01/2014,Olymp. Lyonnais,AJ Auxerre,750 miles €,Préstamo
14099,2132.0,12/13,01/07/2012,Olymp. Lyon B,Olymp. Lyonnais,-,-
14100,2132.0,11/12,01/07/2011,Olymp. Lyon U19,Olymp. Lyon B,-,-
14101,2133.0,16/17,31/08/2016,FC Liverpool,OGC Nice,"6,00 mill. €",Libre
14102,2133.0,15/16,30/06/2016,AC Milan,FC Liverpool,"7,00 mill. €",Fin de préstamo
14103,2133.0,15/16,27/08/2015,FC Liverpool,AC Milan,"11,00 mill. €",Préstamo
14104,2133.0,14/15,25/08/2014,AC Milan,FC Liverpool,"27,00 mill. €","20,00 mill. €"
14105,2133.0,12/13,31/01/2013,Manchester City,AC Milan,"24,00 mill. €","20,00 mill. €"
14106,2133.0,10/11,12/08/2010,Inter,Manchester City,"26,00 mill. €","29,50 mill. €"
14107,2133.0,07/08,01/07/2007,Inter U19,Inter,-,-
14108,2133.0,06/07,31/08/2006,Lumezzane,Inter U19,-,360 miles €
14109,2133.0,05/06,01/04/2006,Lumezzane U19,Lumezzane,-,-
14110,2134.0,15/16,31/08/2015,AC Le Havre,OGC Nice,"1,50 mill. €","1,50 mill. €"
14111,2134.0,13/14,01/07/2013,CS Sedan,AC Le Havre,750 miles €,Libre
14112,2134.0,10/11,01/07/2010,CS Sedan-Ardennes B,CS Sedan,-,-
14113,2134.0,09/10,01/07/2009,Lorient B,CS Sedan-Ardennes B,-,Libre
14114,2135.0,15/16,25/04/2016,Sarpsborg 08,OGC Nice,"2,50 mill. €",Fin de préstamo
14115,2135.0,15/16,24/01/2016,OGC Nice,Sarpsborg 08,"2,50 mill. €",Préstamo
14116,2135.0,15/16,23/01/2016,Tours FC,OGC Nice,"2,50 mill. €",Fin de préstamo
14117,2135.0,15/16,15/07/2015,OGC Nice,Tours FC,"3,00 mill. €",Préstamo
14118,2135.0,12/13,01/07/2012,Niza B,OGC Nice,-,-
14119,2136.0,15/16,30/06/2016,Fréjus-Saint-Raphaël FC,OGC Nice,150 miles €,Fin de préstamo
14120,2136.0,15/16,20/01/2016,OGC Nice,Fréjus-Saint-Raphaël FC,150 miles €,Préstamo
14121,2136.0,14/15,01/07/2014,Niza B,OGC Nice,-,-
14122,2137.0,15/16,01/07/2015,FC Sochaux,Marseille,500 miles €,Libre
14123,2137.0,13/14,01/01/2014,inactivo,FC Sochaux,-,-
14124,2137.0,12/13,01/07/2012,Toulouse,inactivo,"1,00 mill. €",-
14125,2137.0,09/10,01/07/2009,Le Mans UC 72,Toulouse,"5,00 mill. €",Libre
14126,2137.0,99/00,01/07/1999,FC Le Mans U19,Le Mans UC 72,-,-
14127,2138.0,15/16,30/06/2016,AS Nancy,Marseille,500 miles €,Fin de préstamo
14128,2138.0,15/16,09/07/2015,Marseille,AS Nancy,600 miles €,Préstamo
14129,2138.0,12/13,04/01/2013,AC Le Havre,Marseille,150 miles €,400 miles €
14130,2138.0,11/12,01/07/2011,Le Havre U19,AC Le Havre,-,-
14131,2139.0,16/17,01/07/2016,Marseille B,Marseille,-,-
14132,2139.0,15/16,01/07/2015,Marseille U19,Marseille B,-,-
14133,2140.0,15/16,01/07/2015,Manchester City,Marseille,"4,00 mill. €","5,00 mill. €"
14134,2140.0,14/15,30/06/2015,PSV Eindhoven,Manchester City,"3,50 mill. €",Fin de préstamo
14135,2140.0,13/14,10/07/2013,Manchester City,PSV Eindhoven,"2,00 mill. €",Préstamo
