,Avatar,Nombre,Nombre_Completo,Dorsal,Nacionalidad,bandera_pais,valor,Equipo,Altura,Pie,Edad,Fecha_nacimiento,Contrato_hasta,Posicion,Fichado,Agente,Lugar_nacimiento,Proveedror
2898,tmssl.akamaized.net//images/portrait/header/111667-1476049485.jpg?lm=1476049485,Marcinho,-,-,Brasil,//tmssl.akamaized.net//images/flagge/verysmall/26.png?lm=1396275477,800 miles € ,109.0,"1,82m",izquierdo,30,14/05/1986,30.06.2018,Medio campo - Medio centro ofensivo,21/01/2017,X Football Scout,Volta Redonda  ,-
2899,tmssl.akamaized.net//bilder/spielerfotos/s_86106_687_2010_2.jpg?lm=0,Davy Claude Angan,Davy Claude Angan N'Guessan,19,Costa de Marfil,//tmssl.akamaized.net//images/flagge/verysmall/38.png?lm=1396275488,500 miles € ,109.0,"1,84m",derecho,29,20/09/1987,30.06.2017,Delantero - Extremo izquierdo,04/08/2016,Gaetano Montalbano,Abidjan  ,-
2900,tmssl.akamaized.net//images/portrait/header/56518-1478268756.png?lm=1478268767,Sefa Yilmaz,Sefa Yılmaz,61,Turquía,//tmssl.akamaized.net//images/flagge/verysmall/174.png?lm=1396275450,"2,00 mill. € ",109.0,"1,83m",derecho,27,14/02/1990,30.06.2017,Delantero - Extremo derecho,10/01/2017,Players &amp; More,Berlin  ,-
2901,tmssl.akamaized.net//images/portrait/header/default.jpg?lm=1455618221,Evans Kangwa,-,11,Zambia,//tmssl.akamaized.net//images/flagge/verysmall/142.png?lm=1396275477,"1,00 mill. € ",109.0,"1,80m",derecho,24,09/10/1992,30.06.2020,Delantero - Extremo derecho,01/08/2016,MSG - Media Sports Group,Kasama  ,-
2902,tmssl.akamaized.net//images/portrait/header/83560-1472488476.png?lm=1472488597,Muhammet Demir,-,18,Turquía,//tmssl.akamaized.net//images/flagge/verysmall/174.png?lm=1396275450,"3,00 mill. € ",109.0,"1,80m",derecho,25,10/01/1992,30.06.2017,Delantero - Delantero centro,10/01/2017,Sin agente,Trabzon  ,-
2903,tmssl.akamaized.net//images/portrait/header/193515-1447315109.jpg?lm=1447315145,Nabil Ghilas,-,99,Argelia,//tmssl.akamaized.net//images/flagge/verysmall/4.png?lm=1396275450,"2,00 mill. € ",109.0,"1,85m",derecho,26,20/04/1990,30.06.2018,Delantero - Delantero centro,31/08/2016,BBC Management GmbH,Marseille  ,-
2904,tmssl.akamaized.net//bilder/spielerfotos/s_37091_1506_2010_1.jpg?lm=0,Ilhan Parlak,İlhan Parlak,23,Turquía,//tmssl.akamaized.net//images/flagge/verysmall/174.png?lm=1396275450,600 miles € ,109.0,"1,81m",derecho,30,18/01/1987,30.06.2017,Delantero - Delantero centro,07/01/2016,Sin agente,Kayseri  ,-
2905,tmssl.akamaized.net//images/portrait/header/209574-1471430489.JPG?lm=1471430505,Fatih Öztürk,-,26,Turquía,//tmssl.akamaized.net//images/flagge/verysmall/174.png?lm=1396275450,800 miles € ,110.0,"1,91m",derecho,30,22/12/1986,30.06.2019,Portero,31/08/2015,Sin agente,Phalsbourg  ,-
2906,tmssl.akamaized.net//images/portrait/header/47024-1471430428.JPG?lm=1471430452,Milan Lukac,Mилaн Лукaч,1,Serbia,//tmssl.akamaized.net//images/flagge/verysmall/215.png?lm=1396275486,700 miles € ,110.0,"1,97m",derecho,31,04/10/1985,30.06.2018,Portero,12/07/2015,Dynamic Agency,Novi Sad  ,-
2907,tmssl.akamaized.net//images/portrait/header/25550-1471430533.JPG?lm=1471430554,Bora Körk,-,35,Turquía,//tmssl.akamaized.net//images/flagge/verysmall/174.png?lm=1396275450,100 miles € ,110.0,"1,87m",derecho,36,09/06/1980,30.06.2017,Portero,08/07/2015,SF Player Consulting,Izmir  ,-
2908,tmssl.akamaized.net//images/portrait/header/76176-1472487630.png?lm=1472487708,Mustafa Yumlu,-,22,Turquía,//tmssl.akamaized.net//images/flagge/verysmall/174.png?lm=1396275450,"1,50 mill. € ",110.0,"1,91m",derecho,29,25/09/1987,30.06.2019,Defensa - Defensa central,24/01/2017,-,Trabzon  ,-
2909,tmssl.akamaized.net//images/portrait/header/157993-1471430620.JPG?lm=1471430641,Caner Osmanpasa,Caner Osmanpaşa,88,Turquía,//tmssl.akamaized.net//images/flagge/verysmall/174.png?lm=1396275450,"1,50 mill. € ",110.0,"1,82m",derecho,29,15/01/1988,30.06.2018,Defensa - Defensa central,16/07/2015,Sezer Bravo,Trabzon  ,-
