,Avatar,Nombre,Nombre_Completo,Dorsal,Nacionalidad,bandera_pais,valor,Equipo,Altura,Pie,Edad,Fecha_nacimiento,Contrato_hasta,Posicion,Fichado,Agente,Lugar_nacimiento,Proveedror
4442,tmssl.akamaized.net//bilder/spielerfotos/s_82332_202_2012_1.jpg?lm=0,Maikel Kieftenbeld,-,6,Países Bajos,//tmssl.akamaized.net//images/flagge/verysmall/122.png?lm=1396275478,"2,00 mill. € ",169.0,"1,79m",derecho,26,26/06/1990,30.06.2018,Medio campo - Pivote,27/07/2015,-,Lemelerveld  ,-
4443,tmssl.akamaized.net//bilder/spielerfotos/s_37171_405_2009_1.jpg?lm=0,Craig Gardner,-,12,Inglaterra,//tmssl.akamaized.net//images/flagge/verysmall/189.png?lm=1396275477,"3,50 mill. € ",169.0,"1,76m",derecho,30,25/11/1986,30.06.2017,Medio campo - Medio centro,01/07/2017,James Grant Sports Management,Solihull  ,-
4444,tmssl.akamaized.net//images/portrait/header/41458-1473335101.jpg?lm=1473335121,Robert Tesche,-,7,Alemania,//tmssl.akamaized.net//images/flagge/verysmall/40.png?lm=1396275477,750 miles € ,169.0,"1,82m",derecho,29,27/05/1987,30.06.2019,Medio campo - Medio centro,01/07/2016,-,Wismar  ,-
4445,tmssl.akamaized.net//bilder/spielerfotos/s_129054_543_2013_08_06_1.jpg?lm=0,David Davis,David Lowell Davis,26,Inglaterra,//tmssl.akamaized.net//images/flagge/verysmall/189.png?lm=1396275477,650 miles € ,169.0,"1,73m",derecho,25,20/02/1991,30.06.2017,Medio campo - Medio centro,11/08/2014,Key Sports Managment Ltd.,Smethwick  ,-
4446,tmssl.akamaized.net//bilder/spielerfotos/s_48307_991_2013_09_24_1.jpg?lm=0,Stephen Gleeson,Stephen Michael Gleeson,8,Irlanda,//tmssl.akamaized.net//images/flagge/verysmall/72.png?lm=1396275478,500 miles € ,169.0,"1,75m",derecho,28,03/08/1988,30.06.2018,Medio campo - Medio centro,01/07/2014,-,Dublin  ,-
4447,tmssl.akamaized.net//images/portrait/header/default.jpg?lm=1455618221,Reece Brown,-,18,Inglaterra,//tmssl.akamaized.net//images/flagge/verysmall/189.png?lm=1396275477,150 miles € ,169.0,"1,75m",-,20,03/03/1996,30.06.2017,Medio campo - Medio centro,01/07/2014,Key Sports Managment Ltd.,Dudley  ,-
4448,tmssl.akamaized.net//images/portrait/header/default.jpg?lm=1455618221,Charlee Adams,Charlee Shaun Adams,16,Inglaterra,//tmssl.akamaized.net//images/flagge/verysmall/189.png?lm=1396275477, ,169.0,"1,80m",-,21,16/02/1995,30.06.2017,Medio campo - Medio centro,01/07/2013,-,Redbridge  ,-
4449,tmssl.akamaized.net//images/portrait/header/146844-1470581549.jpg?lm=1470581606,Kerim Frei,-,21,Turquía,//tmssl.akamaized.net//images/flagge/verysmall/174.png?lm=1396275450,"4,50 mill. € ",169.0,"1,71m",derecho,23,19/11/1993,30.06.2020,Medio campo - Interior izquierdo,20/01/2017,Miembro de su familia,Feldkirch  ,Nike
4450,tmssl.akamaized.net//bilder/spielerfotos/s_45522_1035_2013_08_06_1.jpg?lm=0,Jacques Maghoma,Jacques Ilonda Maghoma,19,República Democrática del Congo,//tmssl.akamaized.net//images/flagge/verysmall/193.png?lm=1396275486,500 miles € ,169.0,"1,79m",derecho,29,23/10/1987,30.06.2018,Medio campo - Interior izquierdo,01/07/2015,World in Motion,Lubumbashi  ,-
4451,tmssl.akamaized.net//images/portrait/header/default.jpg?lm=1455618221,Koby Arthur,Koby Owusu Arthur,24,Ghana,//tmssl.akamaized.net//images/flagge/verysmall/54.png?lm=1396275450,100 miles € ,169.0,"1,68m",derecho,21,31/01/1996,30.06.2017,Medio campo - Medio centro ofensivo,01/04/2013,-,Kumasi  ,-
4452,tmssl.akamaized.net//images/portrait/header/346779-1447757564.jpg?lm=1447757589,Che Adams,Che Zach Everton Fred Adams,14,Inglaterra,//tmssl.akamaized.net//images/flagge/verysmall/189.png?lm=1396275477,"1,50 mill. € ",169.0,-,-,20,13/07/1996,30.06.2019,Delantero - Delantero centro,08/08/2016,Unique Sports Management,Leicester  ,-
4453,tmssl.akamaized.net//bilder/spielerfotos/s_236513_6922_2012_1.jpg?lm=0,Jerome Sinclair,Jerome Terence Sinclair,48,Inglaterra,//tmssl.akamaized.net//images/flagge/verysmall/189.png?lm=1396275477,"1,50 mill. € ",169.0,"1,83m",derecho,20,20/09/1996,31.05.2017,Delantero - Delantero centro,31/01/2017,-,Birmingham  ,-
4454,tmssl.akamaized.net//images/portrait/header/33507-1482239661.jpg?lm=1482239679,Lukas Jutkiewicz,Lukas Isaac Paul Jutkiewicz,15,Inglaterra,//tmssl.akamaized.net//images/flagge/verysmall/189.png?lm=1396275477,"1,00 mill. € ",169.0,"1,85m",izquierdo,27,28/03/1989,02.01.2017,Delantero - Delantero centro,03/01/2017,-,Southampton  ,-
4455,tmssl.akamaized.net//images/portrait/header/default.jpg?lm=1455618221,Greg Stewart,-,20,Escocia,//tmssl.akamaized.net//images/flagge/verysmall/190.png?lm=1396275477,600 miles € ,169.0,"1,78m",derecho,26,17/03/1990,30.06.2019,Delantero - Delantero centro,12/08/2016,-,Stirling  ,-
