,Avatar,Nombre,Nombre_Completo,Dorsal,Nacionalidad,bandera_pais,valor,Equipo,Altura,Pie,Edad,Fecha_nacimiento,Contrato_hasta,Posicion,Fichado,Agente,Lugar_nacimiento,Proveedror
1320,tmssl.akamaized.net//images/portrait/header/109038-1410955330.jpg?lm=1433143460,Dodô,-,5,Brasil,//tmssl.akamaized.net//images/flagge/verysmall/26.png?lm=1396275477,"4,00 mill. € ",52.0,"1,77m",izquierdo,25,06/02/1992,30.06.2020,Defensa - Lateral izquierdo,01/07/2018,MJF PUBLICIDADE,Campinas  ,Nike
1321,tmssl.akamaized.net//images/portrait/header/72274-1448964701.jpg?lm=1448964739,Vasco Regini,-,19,Italia,//tmssl.akamaized.net//images/flagge/verysmall/75.png?lm=1396275478,"2,50 mill. € ",52.0,"1,85m",izquierdo,26,09/09/1990,30.06.2020,Defensa - Lateral izquierdo,01/07/2013,M.A.R.A.T. Football Management srl,Cesena  ,-
1322,tmssl.akamaized.net//images/portrait/header/19671-1449138087.jpg?lm=1449138107,Daniel Pavlovic,Daniel Pavlović,20,Bosnia y Herzegovina,//tmssl.akamaized.net//images/flagge/verysmall/24.png?lm=1396275450,800 miles € ,52.0,"1,83m",izquierdo,28,22/04/1988,30.06.2018,Defensa - Lateral izquierdo,19/07/2016,ESHA,Rorschach  ,-
1323,tmssl.akamaized.net//images/portrait/header/422851-1472482242.jpg?lm=1472482251,Stanley Amuzie,-,3,Nigeria,//tmssl.akamaized.net//images/flagge/verysmall/124.png?lm=1396275486,100 miles € ,52.0,"1,86m",izquierdo,20,28/02/1996,-,Defensa - Lateral izquierdo,29/08/2016,Makoz Group,Lagos  ,-
1324,tmssl.akamaized.net//images/portrait/header/96806-1449061227.jpg?lm=1449061275,Jacopo Sala,-,22,Italia,//tmssl.akamaized.net//images/flagge/verysmall/75.png?lm=1396275478,"2,50 mill. € ",52.0,"1,81m",derecho,25,05/12/1991,30.06.2020,Defensa - Lateral derecho,01/07/2016,-,Alzano Lombardo  ,-
1325,tmssl.akamaized.net//images/portrait/header/144143-1483452551.jpg?lm=1483452562,Bartosz Bereszynski,Bartosz Bereszyński,24,Polonia,//tmssl.akamaized.net//images/flagge/verysmall/135.png?lm=1396275477,"1,50 mill. € ",52.0,"1,82m",derecho,24,12/07/1992,30.06.2021,Defensa - Lateral derecho,03/01/2017,Fabryka Futbolu,Poznań  ,Puma
1326,tmssl.akamaized.net//images/portrait/header/318077-1455622525.jpg?lm=1455622535,Lucas Torreira,Lucas Sebastian Torreira Di Pascua,34,Uruguay,//tmssl.akamaized.net//images/flagge/verysmall/179.png?lm=1396275478,"4,50 mill. € ",52.0,"1,67m",derecho,21,11/02/1996,30.06.2020,Medio campo - Pivote,01/07/2015,Oscar Bentancourt,Fray Bentos  ,-
1327,tmssl.akamaized.net//images/portrait/header/33218-1449134033.jpg?lm=1449134059,Luca Cigarini,-,21,Italia,//tmssl.akamaized.net//images/flagge/verysmall/75.png?lm=1396275478,"3,00 mill. € ",52.0,"1,75m",derecho,30,20/06/1986,30.06.2019,Medio campo - Pivote,20/07/2016,BSA srl,Montecchio Emilia  ,-
1328,tmssl.akamaized.net//images/portrait/header/6793-1448965403.jpg?lm=1448965415,Angelo Palombo,-,17,Italia,//tmssl.akamaized.net//images/flagge/verysmall/75.png?lm=1396275478,300 miles € ,52.0,"1,77m",derecho,35,25/09/1981,30.06.2017,Medio campo - Pivote,01/07/2002,Tullio Tinti,Ferentino  ,-
1329,tmssl.akamaized.net//images/portrait/header/129588-1463747208.jpg?lm=1463747224,Dennis Praet,-,18,Bélgica,//tmssl.akamaized.net//images/flagge/verysmall/19.png?lm=1396275450,"9,00 mill. € ",52.0,"1,81m",derecho,22,14/05/1994,30.06.2021,Medio campo - Medio centro,24/08/2016,MLM Sport Management,Leuven  ,-
1330,tmssl.akamaized.net//images/portrait/header/225873-1464956094.jpg?lm=1464956140,Karol Linetty,-,16,Polonia,//tmssl.akamaized.net//images/flagge/verysmall/135.png?lm=1396275477,"6,00 mill. € ",52.0,"1,76m",derecho,22,02/02/1995,30.06.2021,Medio campo - Medio centro,29/07/2016,Fabryka Futbolu,Żnin  ,-
1331,tmssl.akamaized.net//images/portrait/header/16120-1448965155.jpg?lm=1448965218,Édgar Barreto,Édgar Osvaldo Barreto Cáceres,8,Paraguay,//tmssl.akamaized.net//images/flagge/verysmall/132.png?lm=1396275478,"1,50 mill. € ",52.0,"1,80m",derecho,32,15/07/1984,30.06.2018,Medio campo - Medio centro,01/07/2015,Riccardo Calleri,Asunción  ,-
1332,tmssl.akamaized.net//images/portrait/header/240306-1449132125.jpg?lm=1449132141,Bruno Fernandes,Bruno Miguel Borges Fernandes,10,Portugal,//tmssl.akamaized.net//images/flagge/verysmall/136.png?lm=1396275486,"7,00 mill. € ",52.0,"1,79m",derecho,22,08/09/1994,30.06.2017,Medio campo - Medio centro ofensivo,01/07/2017,Samii Sport-Marketing Agentur,Maia  ,-
1333,tmssl.akamaized.net//images/portrait/header/76077-1454584337.jpg?lm=1454584381,Ricardo Álvarez,Ricardo Gabriel Álvarez,11,Argentina,//tmssl.akamaized.net//images/flagge/verysmall/9.png?lm=1396275477,"6,00 mill. € ",52.0,"1,88m",izquierdo,28,12/04/1988,30.06.2019,Medio campo - Medio centro ofensivo,04/01/2016,Marcelo Simonian,Buenos Aires  ,-
1334,tmssl.akamaized.net//images/portrait/header/94307-1469005896.jpg?lm=1469005905,Filip Djuricic,Филип Ђуричић,23,Serbia,//tmssl.akamaized.net//images/flagge/verysmall/215.png?lm=1396275486,"3,00 mill. € ",52.0,"1,81m",ambidiestro,25,30/01/1992,30.06.2021,Medio campo - Medio centro ofensivo,30/01/2017,LIAN SPORTS,Obrenovac  ,-
1335,tmssl.akamaized.net//images/portrait/header/119228-1448965742.jpg?lm=1448965778,Luis Muriel,Luis Fernando Muriel Fruto,9,Colombia,//tmssl.akamaized.net//images/flagge/verysmall/83.png?lm=1396275477,"12,50 mill. € ",52.0,"1,79m",derecho,25,16/04/1991,30.06.2019,Delantero - Delantero centro,01/07/2015,Alessandro Lucci - WSA,Santo Tomás  ,-
1336,tmssl.akamaized.net//images/portrait/header/242086-1465824397.jpg?lm=1465824409,Patrik Schick,Patrik Schick,14,República Checa,//tmssl.akamaized.net//images/flagge/verysmall/172.png?lm=1396275450,"3,50 mill. € ",52.0,"1,87m",izquierdo,21,24/01/1996,30.06.2020,Delantero - Delantero centro,13/07/2016,"International Sport Management, s.r.o.",Praha  ,-
1337,tmssl.akamaized.net//images/portrait/header/46413-1438091333.jpg?lm=1438091344,Ante Budimir,-,47,Croacia,//tmssl.akamaized.net//images/flagge/verysmall/37.png?lm=1396275477,"2,50 mill. € ",52.0,"1,90m",izquierdo,25,22/07/1991,30.06.2020,Delantero - Delantero centro,05/07/2016,Mladen Grgic,Zenica  ,-
1338,tmssl.akamaized.net//images/portrait/header/22328-1454336088.jpg?lm=1454336068,Fabio Quagliarella,-,27,Italia,//tmssl.akamaized.net//images/flagge/verysmall/75.png?lm=1396275478,"2,00 mill. € ",52.0,"1,82m",derecho,34,31/01/1983,30.06.2019,Delantero - Delantero centro,01/07/2016,AGB Sport Management,Castellammare di Stabia  ,Nike
1339,tmssl.akamaized.net//bilder/spielerfotos/s_22141_130_2013_09_18_1.jpg?lm=0,Antonio Mirante,-,83,Italia,//tmssl.akamaized.net//images/flagge/verysmall/75.png?lm=1396275478,"2,30 mill. € ",53.0,"1,93m",derecho,33,08/07/1983,30.06.2019,Portero,03/07/2015,Assist,Castellammare di Stabia  ,-
1340,tmssl.akamaized.net//images/portrait/header/82693-1455534756.jpg?lm=1455534767,Angelo da Costa,Angelo Esmael da Costa Júnior,1,Brasil,//tmssl.akamaized.net//images/flagge/verysmall/26.png?lm=1396275477,500 miles € ,53.0,"1,86m",derecho,33,12/11/1983,30.06.2018,Portero,20/01/2015,-,Sao Bernardo do Campo  ,-
1341,tmssl.akamaized.net//images/portrait/header/338101-1439901154.jpg?lm=1439901171,Mouhamadou Sarr,Mouhamadou Fallou Mbacke Sarr,97,Senegal,//tmssl.akamaized.net//images/flagge/verysmall/149.png?lm=1396275486,75 miles € ,53.0,"1,90m",derecho,20,05/01/1997,30.06.2020,Portero,01/07/2016,-,Kaolack   ,-
1342,tmssl.akamaized.net//images/portrait/header/174488-1449134825.jpg?lm=1449134863,Marios Oikonomou,Μάριος Οικονόμου,2,Grecia,//tmssl.akamaized.net//images/flagge/verysmall/56.png?lm=1396275450,"2,00 mill. € ",53.0,"1,89m",derecho,24,06/10/1992,30.06.2020,Defensa - Defensa central,01/07/2014,Sports Connection,Ioannina  ,-
1343,tmssl.akamaized.net//images/portrait/header/198067-1439466050.jpg?lm=1439466117,Filip Helander,Filip Viktor Helander,18,Suecia,//tmssl.akamaized.net//images/flagge/verysmall/147.png?lm=1396275478,"1,40 mill. € ",53.0,"1,92m",izquierdo,23,22/04/1993,30.06.2017,Defensa - Defensa central,01/07/2017,MD Management,Malmö  ,-
