,Jugador,Temporada,Dato,Ultimo_club,Nuevo_club,Valor,Coste
6923,1067.0,09/10,20/01/2010,AS Livorno,Udinese,"4,00 mill. €",Fin de préstamo
6924,1067.0,08/09,07/07/2008,Udinese,AS Livorno,500 miles €,Tarifa de préstamo:500 miles €
6925,1067.0,07/08,01/07/2007,Ternana,Udinese,-,500 miles €
6926,1067.0,04/05,01/07/2004,Ternana U19,Ternana,-,-
6927,1067.0,03/04,01/07/2003,Lodigiani Youth,Ternana U19,-,?
6928,1068.0,16/17,30/08/2016,Santos FC,Inter de Milán,"20,00 mill. €","29,50 mill. €"
6929,1068.0,12/13,01/01/2013,Santos FC U20,Santos FC,-,-
6930,1069.0,15/16,10/07/2015,Sin equipo,Inter de Milán,"4,00 mill. €",-
6931,1069.0,14/15,11/04/2015,Parma,Sin equipo,"4,00 mill. €",-
6932,1069.0,12/13,01/07/2012,UC Sampdoria,Parma,"8,00 mill. €","4,50 mill. €"
6933,1069.0,11/12,30/06/2012,Parma,UC Sampdoria,"8,00 mill. €",Fin de préstamo
6934,1069.0,11/12,01/07/2011,UC Sampdoria,Parma,"6,50 mill. €",Préstamo
6935,1069.0,10/11,01/01/2011,Inter,UC Sampdoria,"7,50 mill. €","7,00 mill. €"
6936,1069.0,10/11,01/07/2010,Parma,Inter,"7,50 mill. €","4,20 mill. €"
6937,1069.0,09/10,01/02/2010,Inter,Parma,"3,50 mill. €","2,50 mill. €"
6938,1069.0,09/10,31/12/2009,Parma,Inter,"2,50 mill. €",Fin de préstamo
6939,1069.0,09/10,01/07/2009,Inter,Parma,"1,00 mill. €",Préstamo
6940,1069.0,08/09,30/06/2009,Modena FC,Inter,"1,00 mill. €",Fin de préstamo
6941,1069.0,07/08,31/01/2008,Inter,Modena FC,50 miles €,Préstamo
6942,1069.0,07/08,31/12/2007,Chievo Verona,Inter,50 miles €,Fin de préstamo
6943,1069.0,07/08,13/08/2007,Inter,Chievo Verona,50 miles €,Préstamo
6944,1069.0,06/07,01/07/2006,Inter U19,Inter,-,-
6945,1070.0,13/14,09/07/2013,UC Sampdoria,Inter,"12,00 mill. €","13,00 mill. €"
6946,1070.0,11/12,16/07/2011,Barça Juvenil A,UC Sampdoria,200 miles €,300 miles €
6947,1070.0,10/11,30/06/2011,Sampdoria U19,Barça Juvenil A,200 miles €,Fin de préstamo
6948,1070.0,10/11,11/01/2011,Barça Juvenil A,Sampdoria U19,-,Tarifa de préstamo:25 miles €
6949,1070.0,10/11,01/07/2010,Barcelona Cad.,Barça Juvenil A,-,-
6950,1070.0,07/08,01/02/2008,UD Vecindario,Barcelona Cad.,-,?
6951,1071.0,12/13,01/07/2012,Genoa CFC,Inter,"12,00 mill. €","10,50 mill. €"
6952,1071.0,09/10,15/07/2009,Boca Juniors,Genoa CFC,"9,50 mill. €","4,90 mill. €"
6953,1071.0,04/05,01/01/2005,CA Banfield,Boca Juniors,-,Libre
6954,1071.0,03/04,01/01/2004,Huracan de Tres Arroyos,CA Banfield,-,Libre
6955,1071.0,02/03,01/07/2002,Bella Vista U20,Huracan de Tres Arroyos,-,Libre
6956,1072.0,16/17,13/01/2017,Inter U19,Inter de Milán,500 miles €,-
6957,1072.0,15/16,01/07/2015,Inter Jugend,Inter U19,-,-
6958,1073.0,15/16,29/07/2015,FC Arsenal,AS Roma,"10,00 mill. €",Préstamo
6959,1073.0,09/10,30/05/2010,Brentford,FC Arsenal,475 miles €,Fin de préstamo
6960,1073.0,09/10,15/11/2009,FC Arsenal,Brentford,50 miles €,Préstamo
6961,1073.0,08/09,01/07/2008,FC Arsenal U18,FC Arsenal,100 miles €,-
