,Avatar,Nombre,Nombre_Completo,Dorsal,Nacionalidad,bandera_pais,valor,Equipo,Altura,Pie,Edad,Fecha_nacimiento,Contrato_hasta,Posicion,Fichado,Agente,Lugar_nacimiento,Proveedror
3184,tmssl.akamaized.net//images/portrait/header/84318-1477932755.jpg?lm=1477932887,Paolo Hurtado,Cristopher Paolo César Hurtado Huertas,16,Perú,//tmssl.akamaized.net//images/flagge/verysmall/133.png?lm=1396275477,"1,50 mill. € ",120.0,"1,76m",derecho,26,27/07/1990,30.06.2017,Medio campo - Medio centro ofensivo,02/08/2016,EUROPE SPORTS GROUP,Callao  ,-
3185,tmssl.akamaized.net//images/portrait/header/203654-1477932898.jpg?lm=1477932937,Tozé,António José Pinheiro Carvalho,10,Portugal,//tmssl.akamaized.net//images/flagge/verysmall/136.png?lm=1396275486,"1,00 mill. € ",120.0,"1,74m",derecho,24,14/01/1993,30.06.2019,Medio campo - Medio centro ofensivo,16/07/2015,Miembro de su familia,Forjães  ,-
3186,tmssl.akamaized.net//images/portrait/header/411295-1477932978.jpg?lm=1477933005,Raphinha,Raphael Dias Belloli,81,Brasil,//tmssl.akamaized.net//images/flagge/verysmall/26.png?lm=1396275477,"1,00 mill. € ",120.0,"1,76m",izquierdo,20,14/12/1996,30.06.2021,Delantero - Extremo izquierdo,01/07/2016,EUROPE SPORTS GROUP,Porto Alegre  ,-
3187,tmssl.akamaized.net//images/portrait/header/172142-1421924642.jpg?lm=1433143807,Hernâni,Hernâni Jorge Santos Fortes,9,Portugal,//tmssl.akamaized.net//images/flagge/verysmall/136.png?lm=1396275486,"2,50 mill. € ",120.0,"1,80m",izquierdo,25,20/08/1991,30.06.2017,Delantero - Extremo derecho,25/08/2016,macospo,Lisboa  ,-
3188,tmssl.akamaized.net//images/portrait/header/194641-1445962469.jpg?lm=1445962491,Fábio Sturgeon,Fábio Miguel Santos Sturgeon,71,Portugal,//tmssl.akamaized.net//images/flagge/verysmall/136.png?lm=1396275486,"2,50 mill. € ",120.0,"1,83m",ambidiestro,23,04/02/1994,30.06.2020,Delantero - Extremo derecho,29/01/2017,Proeleven Gestão Desportiva Lda,Almada  ,-
3189,tmssl.akamaized.net//images/portrait/header/258011-1477932958.jpg?lm=1477932990,Xande Silva,Alexandre Nascimento Costa Silva,45,Portugal,//tmssl.akamaized.net//images/flagge/verysmall/136.png?lm=1396275486,750 miles € ,120.0,"1,77m",derecho,19,16/03/1997,30.06.2019,Delantero - Extremo derecho,01/09/2015,EUROFOOT BV,Lisboa  ,adidas
3190,tmssl.akamaized.net//images/portrait/header/283130-1477932788.jpg?lm=1477932836,Moussa Marega,-,21,Malí,//tmssl.akamaized.net//images/flagge/verysmall/105.png?lm=1396275477,"3,00 mill. € ",120.0,"1,83m",derecho,25,14/04/1991,30.06.2017,Delantero - Media punta,25/07/2016,Sin resolverse,Les Ulis  ,-
3191,tmssl.akamaized.net//images/portrait/header/99499-1442909386.jpg?lm=1442909399,Rafael Martins,Clecildo Rafael Martins de Souza Ladislau,99,Brasil,//tmssl.akamaized.net//images/flagge/verysmall/26.png?lm=1396275477,800 miles € ,120.0,"1,77m",derecho,27,17/03/1989,30.06.2020,Delantero - Delantero centro,24/01/2017,Sin agente,Santos  ,-
3192,tmssl.akamaized.net//bilder/spielerfotos/s_143182_202_2012_1.jpg?lm=0,David Texeira,César David Texeira Torres,91,Uruguay,//tmssl.akamaized.net//images/flagge/verysmall/179.png?lm=1396275478,500 miles € ,120.0,"1,81m",derecho,25,27/02/1991,30.06.2017,Delantero - Delantero centro,14/09/2016,Holland Sports Management BV,Salto  ,-
3193,tmssl.akamaized.net//images/portrait/header/53841-1478770931.jpg?lm=1478770940,Cássio,Cássio Albuquerque dos Anjos,1,Brasil,//tmssl.akamaized.net//images/flagge/verysmall/26.png?lm=1396275477,250 miles € ,121.0,"1,84m",derecho,36,12/08/1980,30.06.2018,Portero,01/07/2014,International Foot,Rio de Janeiro  ,-
3194,tmssl.akamaized.net//images/portrait/header/198570-1478770908.jpg?lm=1478770923,Rui Vieira,Rui Gabriel Pinheiro Vieira,71,Portugal,//tmssl.akamaized.net//images/flagge/verysmall/136.png?lm=1396275486,200 miles € ,121.0,"1,89m",derecho,25,13/11/1991,30.06.2017,Portero,01/07/2015,ACRsoccer - Sports Management Careers,Braga  ,-
3195,tmssl.akamaized.net//images/portrait/header/337795-1478770898.jpg?lm=1478770916,Carlos Alves,Carlos Reinaldo Moreira Alves,98,Portugal,//tmssl.akamaized.net//images/flagge/verysmall/136.png?lm=1396275486,100 miles € ,121.0,"1,87m",derecho,18,18/02/1998,30.06.2019,Portero,05/11/2014,-,Vila do Conde  ,-
3196,tmssl.akamaized.net//images/portrait/header/190185-1478770872.jpg?lm=1478770881,Marcelo,Marcelo dos Santos Ferreira,46,Brasil,//tmssl.akamaized.net//images/flagge/verysmall/26.png?lm=1396275477,"1,70 mill. € ",121.0,"1,82m",derecho,27,27/07/1989,30.06.2018,Defensa - Defensa central,01/07/2011,MLSports Management,Rio de Janeiro  ,-
3197,tmssl.akamaized.net//images/portrait/header/87856-1478770849.jpg?lm=1478770861,Roderick Miranda,Roderick Jefferson Gonçalves Miranda,25,Portugal,//tmssl.akamaized.net//images/flagge/verysmall/136.png?lm=1396275486,"1,00 mill. € ",121.0,"1,94m",derecho,25,30/03/1991,30.06.2019,Defensa - Defensa central,01/07/2013,Sin agente,Odivelas  ,-
3198,tmssl.akamaized.net//images/portrait/header/139606-1478770824.jpg?lm=1478770835,Aníbal Capela,Aníbal Araújo Capela,3,Portugal,//tmssl.akamaized.net//images/flagge/verysmall/136.png?lm=1396275486,750 miles € ,121.0,"1,88m",ambidiestro,25,08/05/1991,30.06.2017,Defensa - Defensa central,01/07/2015,GIC - CAREER MANAGEMENT,Vila Verde  ,-
3199,tmssl.akamaized.net//images/portrait/header/332615-1478771464.jpg?lm=1478771494,Nélson Monte,Nélson Macedo Monte,4,Portugal,//tmssl.akamaized.net//images/flagge/verysmall/136.png?lm=1396275486,600 miles € ,121.0,"1,87m",derecho,21,30/07/1995,30.06.2019,Defensa - Defensa central,01/07/2014,-,Vila do Conde  ,-
3200,tmssl.akamaized.net//images/portrait/header/14263-1478771483.jpg?lm=1478771507,André Vilas Boas,André Filipe Monteiro Vilas Boas,14,Portugal,//tmssl.akamaized.net//images/flagge/verysmall/136.png?lm=1396275486,350 miles € ,121.0,"1,85m",derecho,33,04/06/1983,30.06.2017,Defensa - Defensa central,01/08/2011,-,Vila do Conde  ,-
3201,tmssl.akamaized.net//images/portrait/header/198006-1478771453.jpg?lm=1478771518,Rafa Soares,Luís Rafael Soares Alves,55,Portugal,//tmssl.akamaized.net//images/flagge/verysmall/136.png?lm=1396275486,"1,75 mill. € ",121.0,"1,82m",izquierdo,21,09/05/1995,30.06.2017,Defensa - Lateral izquierdo,15/07/2016,Onsoccer,Alpendorada  ,-
