,Jugador,Temporada,Dato,Ultimo_club,Nuevo_club,Valor,Coste
21628,3357.0,07/08,01/07/2007,GDRC Social Lamas,Coimbra,-,Libre
21629,3358.0,16/17,01/07/2016,Flamengo,Estoril,500 miles €,Libre
21630,3358.0,15/16,30/06/2016,Estoril,Flamengo,500 miles €,Fin de préstamo
21631,3358.0,14/15,02/02/2015,Flamengo,Estoril,700 miles €,Préstamo
21632,3358.0,11/12,01/05/2012,Flamengo U19,Flamengo,-,-
21633,3359.0,16/17,06/07/2016,Corinthians,Estoril,400 miles €,Préstamo
21634,3359.0,15/16,23/06/2016,Portuguesa,Corinthians,400 miles €,Fin de préstamo
21635,3359.0,15/16,24/02/2016,Corinthians,Portuguesa,400 miles €,Préstamo
21636,3359.0,14/15,22/06/2015,Bragantino,Corinthians,400 miles €,Fin de préstamo
21637,3359.0,14/15,01/05/2015,Corinthians,Bragantino,500 miles €,Préstamo
21638,3359.0,14/15,01/10/2014,Corinthians B,Corinthians,-,-
21639,3360.0,16/17,20/07/2016,Internacional,Estoril,500 miles €,Préstamo
21640,3360.0,15/16,30/06/2016,Genoa CFC,Internacional,500 miles €,Fin de préstamo
21641,3360.0,15/16,04/01/2016,Internacional,Genoa CFC,100 miles €,Tarifa de préstamo:400 miles €
21642,3360.0,14/15,01/01/2015,Inter U20,Internacional,-,-
21643,3360.0,13/14,01/01/2014,Desp. Brasil,Inter U20,-,?
21644,3361.0,16/17,04/08/2016,BJ Sinobo Guoan,Estoril,500 miles €,Libre
21645,3361.0,15/16,13/07/2015,FC Porto,BJ Guoan,"2,75 mill. €","4,30 mill. €"
21646,3361.0,14/15,30/06/2015,Estoril,FC Porto,"2,20 mill. €",Fin de préstamo
21647,3361.0,14/15,01/09/2014,Porto B,Estoril,"1,50 mill. €",Préstamo
21648,3361.0,12/13,30/06/2013,Palmeiras,Porto B,"2,50 mill. €",Fin de préstamo
21649,3361.0,12/13,07/02/2013,FC Porto,Palmeiras,"5,00 mill. €",Préstamo
21650,3361.0,11/12,05/07/2011,Atlético-MG,FC Porto,"1,30 mill. €","3,56 mill. €"
21651,3361.0,10/11,30/06/2011,Marítimo,Atlético-MG,"1,30 mill. €",Fin de préstamo
21652,3361.0,09/10,17/08/2009,Atlético-MG,Marítimo,200 miles €,Préstamo
21653,3361.0,08/09,01/01/2009,Mineiro B,Atlético-MG,-,-
21654,3362.0,15/16,29/06/2016,Club de Regatas Vasco da Gama B,Estoril,100 miles €,Préstamo
21655,3362.0,14/15,11/06/2015,Vasco U19,Club de Regatas Vasco da Gama B,100 miles €,-
21656,3363.0,16/17,01/07/2016,CSKA Moscú,Estoril,400 miles €,Préstamo
21657,3363.0,15/16,30/06/2016,SKA-Energia,CSKA Moscú,400 miles €,Fin de préstamo
21658,3363.0,15/16,28/08/2015,CSKA Moscú,SKA-Energia,500 miles €,Préstamo
21659,3363.0,14/15,30/06/2015,Torpedo Moskva,CSKA Moscú,500 miles €,Fin de préstamo
21660,3363.0,14/15,12/01/2015,CSKA Moscú,Torpedo Moskva,700 miles €,Préstamo
21661,3363.0,13/14,01/07/2013,CSKA Moskva II,CSKA Moscú,50 miles €,-
21662,3363.0,10/11,01/07/2010,CSKA Jugend,CSKA Moskva II,-,-
21663,3364.0,16/17,31/07/2016,Nacional,Marítimo,900 miles €,Libre
21664,3364.0,12/13,01/07/2012,Leiria,Nacional,"1,00 mill. €",Libre
21665,3364.0,10/11,01/07/2010,Toledo,Leiria,300 miles €,?
21666,3364.0,09/10,01/01/2010,Internacional,Toledo,300 miles €,Libre
21667,3364.0,08/09,01/05/2009,Oeste,Internacional,300 miles €,Fin de préstamo
